BusNo,Company,CurrentStop,Route
B101,MetroBus,Stop43,Stop43 > Stop39 > Stop5 > Stop3 > Stop16
B102,CapitalTrans,Stop11,Stop11 > Stop13 > Stop23 > Stop27
B103,GreenWheels,Stop35,Stop35 > Stop28 > Stop6 > Stop1
B104,NorthFleet,Stop29,Stop29 > Stop31 > Stop19 > Stop9
B105,SkyLine,Stop45,Stop45 > Stop35 > Stop24 > Stop12
B106,MetroBus,Stop47,Stop47 > Stop49 > Stop51 > Stop37
B107,CapitalTrans,Stop16,Stop16 > Stop15 > Stop13 > Stop11
B108,GreenWheels,Stop44,Stop44 > Stop40 > Stop36 > Stop3
B109,NorthFleet,Stop14,Stop14 > Stop12 > Stop2 > Stop1
B110,SkyLine,Stop53,Stop53 > Stop49 > Stop31 > Stop21
B111,MetroBus,Stop28,Stop28 > Stop35 > Stop6 > Stop4
B112,CapitalTrans,Stop33,Stop33 > Stop21 > Stop9 > Stop7
B113,GreenWheels,Stop25,Stop25 > Stop23 > Stop11 > Stop1
B114,NorthFleet,Stop51,Stop51 > Stop37 > Stop29 > Stop27
B115,SkyLine,Stop18,Stop18 > Stop19 > Stop31 > Stop33
B116,MetroBus,Stop43,Stop43 > Stop39 > Stop35 > Stop23
B117,CapitalTrans,Stop13,Stop13 > Stop15 > Stop17 > Stop19
B118,GreenWheels,Stop45,Stop45 > Stop47 > Stop49 > Stop51
B119,NorthFleet,Stop3,Stop3 > Stop5 > Stop15 > Stop27
B120,SkyLine,Stop42,Stop42 > Stop41 > Stop37 > Stop27
B121,MetroBus,Stop16,Stop16 > Stop14 > Stop12 > Stop24
B122,CapitalTrans,Stop29,Stop29 > Stop31 > Stop33 > Stop21
B123,GreenWheels,Stop39,Stop39 > Stop43 > Stop41 > Stop29
B124,NorthFleet,Stop1,Stop1 > Stop2 > Stop11 > Stop13
B125,SkyLine,Stop49,Stop49 > Stop47 > Stop45 > Stop35
B126,MetroBus,Stop36,Stop36 > Stop3 > Stop5 > Stop9
B127,CapitalTrans,Stop27,Stop27 > Stop28 > Stop35 > Stop45
B128,GreenWheels,Stop19,Stop19 > Stop21 > Stop9 > Stop7
B129,NorthFleet,Stop37,Stop37 > Stop29 > Stop27 > Stop23
B130,SkyLine,Stop53,Stop53 > Stop51 > Stop37 > Stop29
B131,MetroBus,Stop24,Stop24 > Stop23 > Stop13 > Stop11
B132,CapitalTrans,Stop44,Stop44 > Stop43 > Stop39 > Stop29
B133,GreenWheels,Stop15,Stop15 > Stop16 > Stop14 > Stop12
B134,NorthFleet,Stop45,Stop45 > Stop35 > Stop28 > Stop16
B135,SkyLine,Stop31,Stop31 > Stop33 > Stop19 > Stop17
B136,MetroBus,Stop6,Stop6 > Stop5 > Stop4 > Stop3
B137,CapitalTrans,Stop35,Stop35 > Stop36 > Stop39 > Stop43
B138,GreenWheels,Stop23,Stop23 > Stop25 > Stop27 > Stop29
B139,NorthFleet,Stop51,Stop51 > Stop49 > Stop47 > Stop45
B140,SkyLine,Stop12,Stop12 > Stop14 > Stop16 > Stop28
B141,MetroBus,Stop27,Stop27 > Stop25 > Stop23 > Stop11
B142,CapitalTrans,Stop21,Stop21 > Stop19 > Stop17 > Stop15
B143,GreenWheels,Stop9,Stop9 > Stop7 > Stop5 > Stop3
B144,NorthFleet,Stop39,Stop39 > Stop37 > Stop29 > Stop15
B145,SkyLine,Stop28,Stop28 > Stop27 > Stop29 > Stop31
B146,MetroBus,Stop11,Stop11 > Stop1 > Stop2 > Stop12
B147,CapitalTrans,Stop33,Stop33 > Stop31 > Stop19 > Stop17
B148,GreenWheels,Stop14,Stop14 > Stop13 > Stop11 > Stop1
B149,NorthFleet,Stop37,Stop37 > Stop39 > Stop43 > Stop41
B150,SkyLine,Stop47,Stop47 > Stop49 > Stop53 > Stop51
