HospitalID,Name,Sector,EmergencyBeds,Specialization
H01,Ali Medical 1,E-5,32,"Orthopedics, Surgery"
H02,KRL 2,F-5,48,"Cardiology, General"
H03,Shifa 3,G-5,29,"Orthopedics, Surgery"
H04,Maroof 4,H-5,11,"Cardiology, General"
H05,Maroof 5,I-5,17,"Orthopedics, Surgery"
H06,Shifa 6,E-6,11,"Cardiology, General"
H07,PIMS 7,F-6,14,"Orthopedics, Surgery"
H08,Maroof 8,G-6,29,"Cardiology, General"
H09,Maroof 9,H-6,29,"Orthopedics, Surgery"
H10,Maroof 10,I-6,18,"Cardiology, General"
H11,Ali Medical 11,E-7,37,"Orthopedics, Surgery"
H12,PIMS 12,F-7,19,"Cardiology, General"
H13,KRL 13,G-7,30,"Orthopedics, Surgery"
H14,KRL 14,H-7,33,"Cardiology, General"
H15,Ali Medical 15,I-7,25,"Orthopedics, Surgery"
H16,Shifa 16,E-8,24,"Cardiology, General"
H17,PIMS 17,F-8,27,"Orthopedics, Surgery"
H18,Shifa 18,G-8,48,"Cardiology, General"
H19,PIMS 19,H-8,46,"Orthopedics, Surgery"
H20,Maroof 20,I-8,39,"Cardiology, General"
H21,PIMS 21,E-9,12,"Orthopedics, Surgery"
H22,Shifa 22,F-9,22,"Cardiology, General"
H23,Maroof 23,G-9,35,"Orthopedics, Surgery"
H24,Ali Medical 24,H-9,49,"Cardiology, General"
H25,Maroof 25,I-9,30,"Orthopedics, Surgery"
H26,Shifa 26,E-10,25,"Cardiology, General"
H27,KRL 27,F-10,14,"Orthopedics, Surgery"
H28,Shifa 28,G-10,13,"Cardiology, General"
H29,PIMS 29,H-10,23,"Orthopedics, Surgery"
H30,PIMS 30,I-10,27,"Cardiology, General"
H31,Ali Medical 31,E-11,43,"Orthopedics, Surgery"
H32,KRL 32,F-11,28,"Cardiology, General"
H33,Maroof 33,G-11,18,"Orthopedics, Surgery"
H34,Ali Medical 34,H-11,29,"Cardiology, General"
H35,Ali Medical 35,I-11,39,"Orthopedics, Surgery"
H36,PIMS 36,E-12,18,"Cardiology, General"
H37,PIMS 37,F-12,27,"Orthopedics, Surgery"
H38,PIMS 38,G-12,47,"Cardiology, General"
H39,Maroof 39,H-12,14,"Orthopedics, Surgery"
H40,Maroof 40,I-12,30,"Cardiology, General"
H41,KRL 41,E-5,29,"Orthopedics, Surgery"
H42,KRL 42,F-5,26,"Cardiology, General"
H43,Ali Medical 43,G-5,42,"Orthopedics, Surgery"
H44,Maroof 44,H-5,12,"Cardiology, General"
H45,KRL 45,I-5,24,"Orthopedics, Surgery"
H46,Ali Medical 46,E-6,47,"Cardiology, General"
H47,Maroof 47,F-6,36,"Orthopedics, Surgery"
H48,KRL 48,G-6,11,"Cardiology, General"
H49,Maroof 49,H-6,33,"Orthopedics, Surgery"
H50,Shifa 50,I-6,22,"Cardiology, General"
