MallID,Name,Sector
M1,Safa Gold E-5
M2,Giga F-5
M3,Emporium G-5
M4,Boulevard H-5
M5,Times I-5
M6,Giga E-6
M7,Centaurus F-6
M8,Amazon G-6
M9,Florence H-6
M10,Olympus I-6
M11,Square E-7
M12,Times F-7
M13,Safa Gold G-7
M14,Boulevard H-7
M15,Centaurus I-7
M16,Emporium E-8
M17,Olympus F-8
M18,Giga G-8
M19,Amazon H-8
M20,Florence I-8
M21,Square E-9
M22,Safa Gold F-9
M23,Times G-9
M24,Centaurus H-9
M25,Emporium I-9
M26,Boulevard E-10
M27,Giga F-10
M28,Olympus G-10
M29,Florence H-10
M30,Amazon I-10
M31,Square E-11
M32,Times F-11
M33,Safa Gold G-11
M34,Centaurus H-11
M35,Boulevard I-11
M36,Emporium E-12
M37,Giga F-12
M38,Olympus G-12
M39,Florence H-12
M40,Amazon I-12
M41,Square E-5
M42,Times F-5
M43,Safa Gold G-5
M44,Centaurus H-5
M45,Boulevard I-5
M46,Emporium E-6
M47,Giga F-6
M48,Olympus G-6
M49,Florence H-6
M50,Amazon I-6
