PharmacyID,Name,Sector,MedicineName,Formula,Price
P01,D-Watson E-7,E-7,Brufen,Ibuprofen,100
P02,D-Watson E-8,E-8,Augmentin,Antibiotic,300
P03,Green E-9,E-9,Panadol,Paracetamol,50
P04,Sehat E-10,E-10,Brufen,Ibuprofen,100
P05,Shaheen E-11,E-11,Augmentin,Antibiotic,300
P06,Shaheen F-6,F-6,Panadol,Paracetamol,50
P07,Green F-7,F-7,Brufen,Ibuprofen,100
P07,Green F-7,F-7,Panadol,Paracetamol,250
P08,Green F-8,F-8,Augmentin,Antibiotic,300
P09,Shaheen F-9,F-9,Panadol,Paracetamol,50
P10,D-Watson F-10,F-10,Brufen,Ibuprofen,100
P11,Shaheen F-11,F-11,Augmentin,Antibiotic,300
P12,Shaheen G-6,G-6,Panadol,Paracetamol,50
P13,Sehat G-7,G-7,Brufen,Ibuprofen,100
P14,Green G-8,G-8,Augmentin,Antibiotic,300
P15,Sehat G-9,G-9,Panadol,Paracetamol,50
P16,D-Watson G-10,G-10,Brufen,Ibuprofen,100
P17,Shaheen G-11,G-11,Augmentin,Antibiotic,300
P18,Shaheen H-8,H-8,Panadol,Paracetamol,50
P19,Green H-9,H-9,Brufen,Ibuprofen,100
P20,D-Watson H-10,H-10,Augmentin,Antibiotic,300
P21,Shaheen H-11,H-11,Panadol,Paracetamol,50
P22,Green H-12,H-12,Brufen,Ibuprofen,100
P23,Green I-8,I-8,Augmentin,Antibiotic,300
P24,D-Watson I-9,I-9,Panadol,Paracetamol,50
P25,Green I-10,I-10,Brufen,Ibuprofen,100
P26,Shaheen I-11,I-11,Augmentin,Antibiotic,300
P27,D-Watson I-12,I-12,Panadol,Paracetamol,50
P28,Shaheen E-7,E-7,Brufen,Ibuprofen,100
P29,D-Watson E-8,E-8,Augmentin,Antibiotic,300
P30,Shaheen E-9,E-9,Panadol,Paracetamol,50
