SchoolID,Name,Sector,Rating,Subjects
S01,Beaconhouse E-5,E-5,4.7,"Bio, Chem, English"
S02,APS F-5,F-5,3.9,"Math, Physics, English"
S03,Roots G-5,G-5,4.1,"Bio, Chem, English"
S04,Froebels H-5,H-5,4.2,"Math, Physics, English"
S05,City School I-5,I-5,4.7,"Bio, Chem, English"
S06,APS E-6,E-6,4.5,"Math, Physics, English"
S07,Beaconhouse F-6,F-6,3.8,"Bio, Chem, English"
S08,Beaconhouse G-6,G-6,4.0,"Math, Physics, English"
S09,APS H-6,H-6,3.6,"Bio, Chem, English"
S10,Beaconhouse I-6,I-6,4.7,"Math, Physics, English"
S11,APS E-7,E-7,3.9,"Bio, Chem, English"
S12,Froebels F-7,F-7,4.3,"Math, Physics, English"
S13,Beaconhouse G-7,G-7,3.5,"Bio, Chem, English"
S14,Beaconhouse H-7,H-7,3.9,"Math, Physics, English"
S15,Froebels I-7,I-7,4.8,"Bio, Chem, English"
S16,APS E-8,E-8,4.3,"Math, Physics, English"
S17,City School F-8,F-8,4.5,"Bio, Chem, English"
S18,APS G-8,G-8,4.7,"Math, Physics, English"
S19,APS H-8,H-8,3.7,"Bio, Chem, English"
S20,Roots I-8,I-8,4.6,"Math, Physics, English"
S21,City School E-9,E-9,3.8,"Bio, Chem, English"
S22,Beaconhouse F-9,F-9,4.4,"Math, Physics, English"
S23,Roots G-9,G-9,4.9,"Bio, Chem, English"
S24,City School H-9,H-9,3.6,"Math, Physics, English"
S25,City School I-9,I-9,3.9,"Bio, Chem, English"
S26,APS E-10,E-10,4.5,"Math, Physics, English"
S27,Roots F-10,F-10,4.2,"Bio, Chem, English"
S28,Roots G-10,G-10,4.7,"Math, Physics, English"
S29,City School H-10,H-10,4.9,"Bio, Chem, English"
S30,Roots I-10,I-10,4.3,"Math, Physics, English"
S31,APS E-11,E-11,4.9,"Bio, Chem, English"
S32,Roots F-11,F-11,4.9,"Math, Physics, English"
S33,Froebels G-11,G-11,3.6,"Bio, Chem, English"
S34,Roots H-11,H-11,3.7,"Math, Physics, English"
S35,APS I-11,I-11,4.7,"Bio, Chem, English"
S36,Roots E-12,E-12,4.6,"Math, Physics, English"
S37,City School F-12,F-12,4.4,"Bio, Chem, English"
S38,Roots G-12,G-12,3.9,"Math, Physics, English"
S39,APS H-12,H-12,4.9,"Bio, Chem, English"
S40,Beaconhouse I-12,I-12,4.5,"Math, Physics, English"
S41,APS E-5,E-5,3.7,"Bio, Chem, English"
S42,City School F-5,F-5,4.7,"Math, Physics, English"
S43,City School G-5,G-5,4.8,"Bio, Chem, English"
S44,APS H-5,H-5,4.9,"Math, Physics, English"
S45,City School I-5,I-5,4.2,"Bio, Chem, English"
S46,Beaconhouse E-6,E-6,4.6,"Math, Physics, English"
S47,APS F-6,F-6,3.6,"Bio, Chem, English"
S48,City School G-6,G-6,4.3,"Math, Physics, English"
S49,City School H-6,H-6,4.3,"Bio, Chem, English"
S50,APS I-6,I-6,4.9,"Math, Physics, English"
