ShopID,MallID,ShopName,Category,ProductName,Price
S1,M13,Nike,Sports,Bat,18632
S2,M2,Dell,Electronics,Charger,16035
S3,M47,Breakout,Clothing,Jacket,5447
S4,M8,Al-Fatah,Grocery,Bread,14983
S5,M36,Mumuso,General,Notebook,2657
S6,M30,Puma,Sports,Ball,1234
S7,M38,Samsung,Electronics,Phone,19800
S8,M33,Khaadi,Clothing,Scarf,8765
S9,M29,Metro,Grocery,Oil,3450
S10,M41,GiftShop,General,Mug,560
S11,M2,Adidas,Sports,Gloves,4300
S12,M15,Sony,Electronics,Laptop,45000
S13,M48,Limelight,Clothing,Jeans,2300
S14,M5,Carrefour,Grocery,Rice,1200
S15,M21,Miniso,General,Pen,200
S16,M10,Reebok,Sports,Shoes,8000
S17,M37,Apple,Electronics,Headphones,25000
S18,M12,Outfitters,Clothing,Shirt,1500
S19,M44,Imtiaz,Grocery,Milk,180
S20,M3,DollarStore,General,Toy,300
S21,M25,Nike,Sports,Bat,15000
S22,M18,Dell,Electronics,Charger,3000
S23,M4,Breakout,Clothing,Jacket,6000
S24,M9,Al-Fatah,Grocery,Bread,150
S25,M1,Mumuso,General,Notebook,400
S26,M14,Puma,Sports,Ball,1100
S27,M32,Samsung,Electronics,Phone,35000
S28,M40,Khaadi,Clothing,Scarf,1200
S29,M19,Metro,Grocery,Oil,2500
S30,M7,GiftShop,General,Mug,600
S31,M49,Adidas,Sports,Gloves,4500
S32,M11,Sony,Electronics,Laptop,50000
S33,M39,Limelight,Clothing,Jeans,2800
S34,M27,Carrefour,Grocery,Rice,1300
S35,M6,Miniso,General,Pen,150
S36,M22,Reebok,Sports,Shoes,8500
S37,M46,Apple,Electronics,Headphones,20000
S38,M35,Outfitters,Clothing,Shirt,1800
S39,M20,Imtiaz,Grocery,Milk,190
S40,M16,DollarStore,General,Toy,350
S41,M24,Nike,Sports,Bat,16000
S42,M42,Dell,Electronics,Charger,2500
S43,M34,Breakout,Clothing,Jacket,5500
S44,M28,Al-Fatah,Grocery,Bread,160
S45,M50,Mumuso,General,Notebook,450
S46,M17,Puma,Sports,Ball,1300
S47,M43,Samsung,Electronics,Phone,32000
S48,M31,Khaadi,Clothing,Scarf,1100
S49,M45,Metro,Grocery,Oil,2600
S50,M26,GiftShop,General,Mug,550
S51,M23,Adidas,Sports,Gloves,4200
S52,M36,Sony,Electronics,Laptop,48000
S53,M47,Limelight,Clothing,Jeans,2400
S54,M8,Carrefour,Grocery,Rice,1250
S55,M30,Miniso,General,Pen,180
S56,M38,Reebok,Sports,Shoes,8200
S57,M33,Apple,Electronics,Headphones,22000
S58,M29,Outfitters,Clothing,Shirt,1600
S59,M41,Imtiaz,Grocery,Milk,200
S60,M2,DollarStore,General,Toy,320
S61,M15,Nike,Sports,Bat,17000
S62,M48,Dell,Electronics,Charger,2800
S63,M5,Breakout,Clothing,Jacket,5800
S64,M21,Al-Fatah,Grocery,Bread,140
S65,M10,Mumuso,General,Notebook,420
S66,M37,Puma,Sports,Ball,1250
S67,M12,Samsung,Electronics,Phone,30000
S68,M44,Khaadi,Clothing,Scarf,1300
S69,M3,Metro,Grocery,Oil,2700
S70,M25,GiftShop,General,Mug,580
S71,M18,Adidas,Sports,Gloves,4400
S72,M4,Sony,Electronics,Laptop,46000
S73,M9,Limelight,Clothing,Jeans,2600
S74,M1,Carrefour,Grocery,Rice,1150
S75,M14,Miniso,General,Pen,160
S76,M32,Reebok,Sports,Shoes,8300
S77,M40,Apple,Electronics,Headphones,23000
S78,M19,Outfitters,Clothing,Shirt,1700
S79,M7,Imtiaz,Grocery,Milk,185
S80,M49,DollarStore,General,Toy,330
S81,M11,Nike,Sports,Bat,16500
S82,M39,Dell,Electronics,Charger,2700
S83,M27,Breakout,Clothing,Jacket,5700
S84,M6,Al-Fatah,Grocery,Bread,155
S85,M22,Mumuso,General,Notebook,430
S86,M46,Puma,Sports,Ball,1200
S87,M35,Samsung,Electronics,Phone,33000
S88,M20,Khaadi,Clothing,Scarf,1150
S89,M16,Metro,Grocery,Oil,2550
S90,M24,GiftShop,General,Mug,570
S91,M42,Adidas,Sports,Gloves,4250
S92,M34,Sony,Electronics,Laptop,49000
S93,M28,Limelight,Clothing,Jeans,2500
S94,M50,Carrefour,Grocery,Rice,1220
S95,M17,Miniso,General,Pen,170
S96,M43,Reebok,Sports,Shoes,8400
S97,M31,Apple,Electronics,Headphones,24000
S98,M45,Outfitters,Clothing,Shirt,1750
S99,M26,Imtiaz,Grocery,Milk,195
S100,M23,DollarStore,General,Toy,340
